millis,time,mode,dt_control,v_raw,v_hat,v_ref,z_ref,z_meas,u_intVertical,u_pi,leftThrust,rightThrust,
3762,18:00:13,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
3862,18:00:13,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
3962,18:00:13,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
4062,18:00:13,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
4162,18:00:13,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
4262,18:00:13,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
4362,18:00:13,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
4464,18:00:13,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
4564,18:00:14,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
4664,18:00:14,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
4764,18:00:14,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
4864,18:00:14,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
4964,18:00:14,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
5064,18:00:14,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
5164,18:00:14,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
5264,18:00:14,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
5364,18:00:14,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
5466,18:00:14,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
5566,18:00:15,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
5666,18:00:15,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
5766,18:00:15,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
5868,18:00:15,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
5968,18:00:15,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
6068,18:00:15,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
6168,18:00:15,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
6268,18:00:15,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
6370,18:00:15,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
6470,18:00:15,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
6570,18:00:16,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
6670,18:00:16,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
6770,18:00:16,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
6870,18:00:16,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
6970,18:00:16,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
7070,18:00:16,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
