millis,time,mode,bat_voltage,bat_percent,dt,v_raw,v_hat,v_ref,z_ref,z_meas,int_ev,u_pi,tof_alt,leftThrust,rightThrust,verticalThrust
3770,10:32:13,SAFETY,8.38,98.7,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3893,10:32:13,SAFETY,8.38,98.7,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3993,10:32:13,SAFETY,8.38,98.7,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.5160,0.0000,0.0000,0.0000
4093,10:32:13,SAFETY,8.38,98.7,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.5200,0.0000,0.0000,0.0000
4193,10:32:13,SAFETY,8.38,98.7,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.5190,0.0000,0.0000,0.0000
4293,10:32:13,SAFETY,8.42,100.0,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.5120,0.0000,0.0000,0.0000
4393,10:32:13,SAFETY,8.42,100.0,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.5060,0.0000,0.0000,0.0000
4493,10:32:13,SAFETY,8.42,100.0,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.5060,0.0000,0.0000,0.0000
4593,10:32:14,SAFETY,8.42,100.0,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.5000,0.0000,0.0000,0.0000
4693,10:32:14,SAFETY,8.42,100.0,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.4960,0.0000,0.0000,0.0000
4793,10:32:14,SAFETY,8.46,100.0,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.4920,0.0000,0.0000,0.0000
4893,10:32:14,SAFETY,8.46,100.0,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.4770,0.0000,0.0000,0.0000
4993,10:32:14,SAFETY,8.46,100.0,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.4680,0.0000,0.0000,0.0000
5093,10:32:14,SAFETY,8.46,100.0,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.4570,0.0000,0.0000,0.0000
5193,10:32:14,SAFETY,8.46,100.0,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.4460,0.0000,0.0000,0.0000
