millis,time,mode,v_raw,v_hat,v_ref,z_ref,z_meas,u_intVertical,u_pi,leftThrust,rightThrust,verticalThrust
3775,16:40:42,SAFETY,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000
3875,16:40:42,SAFETY,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000
3975,16:40:42,SAFETY,0.000,0.000,0.000,0.500,1.574,0.000,0.000,0.000,0.000,0.000
4075,16:40:42,SAFETY,0.000,0.000,0.000,0.500,1.564,0.000,0.000,0.000,0.000,0.000
4175,16:40:42,SAFETY,0.000,0.000,0.000,0.500,1.565,0.000,0.000,0.000,0.000,0.000
4275,16:40:42,SAFETY,0.000,0.000,0.000,0.500,1.552,0.000,0.000,0.000,0.000,0.000
4375,16:40:42,SAFETY,0.000,0.000,0.000,0.500,1.552,0.000,0.000,0.000,0.000,0.000
4475,16:40:42,SAFETY,0.000,0.000,0.000,0.500,1.524,0.000,0.000,0.000,0.000,0.000
4575,16:40:43,SAFETY,0.000,0.000,0.000,0.500,1.524,0.000,0.000,0.000,0.000,0.000
4675,16:40:43,SAFETY,0.000,0.000,0.000,0.500,1.489,0.000,0.000,0.000,0.000,0.000
4775,16:40:43,SAFETY,0.000,0.000,0.000,0.500,1.482,0.000,0.000,0.000,0.000,0.000
4875,16:40:43,SAFETY,0.000,0.000,0.000,0.500,1.452,0.000,0.000,0.000,0.000,0.000
4975,16:40:43,SAFETY,0.000,0.000,0.000,0.500,1.444,0.000,0.000,0.000,0.000,0.000
5075,16:40:43,SAFETY,0.000,0.000,0.000,0.500,1.413,0.000,0.000,0.000,0.000,0.000
5175,16:40:43,SAFETY,0.000,0.000,0.000,0.500,1.399,0.000,0.000,0.000,0.000,0.000
5275,16:40:43,SAFETY,0.000,0.000,0.000,0.500,1.369,0.000,0.000,0.000,0.000,0.000
5375,16:40:43,SAFETY,0.000,0.000,0.000,0.500,1.348,0.000,0.000,0.000,0.000,0.000
5475,16:40:43,SAFETY,0.000,0.000,0.000,0.500,1.317,0.000,0.000,0.000,0.000,0.000
5575,16:40:44,SAFETY,0.000,0.000,0.000,0.500,1.297,0.000,0.000,0.000,0.000,0.000
5675,16:40:44,SAFETY,0.000,0.000,0.000,0.500,1.270,0.000,0.000,0.000,0.000,0.000
5775,16:40:44,SAFETY,0.000,0.000,0.000,0.500,1.245,0.000,0.000,0.000,0.000,0.000
5875,16:40:44,SAFETY,0.000,0.000,0.000,0.500,1.217,0.000,0.000,0.000,0.000,0.000
